date,open,max,min,close,vol
8/23/2005,2.7888,2.8189,2.6531,2.6607,306208914
9/23/2005,2.7888,2.8189,2.6531,2.6607,306208914
9/26/2005,2.6379,2.6907,2.6003,2.6607,54362594
9/27/2005,2.6907,2.7888,2.6907,2.7737,54182812
9/28/2005,2.8264,2.9018,2.7962,2.834,71039045
9/29/2005,2.7888,2.8868,2.7586,2.8489,28740025
9/30/2005,2.7888,2.7888,2.7132,2.7888,75289537
10/3/2005,2.7812,2.7888,2.7436,2.7586,13179113
10/4/2005,2.7661,2.7737,2.6757,2.6757,18978051
10/5/2005,2.6757,2.6907,2.6078,2.6907,28783724
10/6/2005,2.6531,2.6757,2.6228,2.6531,21038101
10/7/2005,2.6379,2.6531,2.6228,2.6531,11906574
10/10/2005,2.6531,2.6983,2.6456,2.6456,5169618
10/11/2005,2.6531,2.6757,2.6305,2.6531,7569763
10/12/2005,2.6531,2.6757,2.5928,2.5928,8546749
10/13/2005,2.6003,2.6003,2.4345,2.4646,37368626
10/14/2005,2.4496,2.5174,2.427,2.51,20374785
10/17/2005,2.5475,2.5552,2.4874,2.4874,10811743
10/18/2005,2.51,2.5174,2.442,2.4646,13257925
10/19/2005,2.4345,2.4571,2.412,2.4571,15813442
10/20/2005,2.51,2.5174,2.412,2.427,9395861
10/21/2005,2.412,2.4193,2.3892,2.3968,17291814
10/24/2005,2.3668,2.3892,2.3216,2.3818,23285774
10/25/2005,2.4044,2.525,2.3968,2.525,13589944
10/26/2005,2.5401,2.5928,2.4721,2.5475,18387014
10/27/2005,2.4646,2.51,2.4496,2.4796,6605066
10/28/2005,2.4496,2.525,2.4345,2.5174,10397465
10/31/2005,2.5401,2.5401,2.51,2.5174,1922028
11/2/2005,2.5174,2.5701,2.5174,2.5701,7681601
11/3/2005,2.5777,2.5851,2.4646,2.4721,12992369
11/4/2005,2.4948,2.5024,2.442,2.4496,6976347
11/7/2005,2.4496,2.4496,2.3591,2.3741,9940300
11/8/2005,2.4044,2.4193,2.3892,2.3892,7189314
11/9/2005,2.4044,2.412,2.3818,2.3892,5808523
11/10/2005,2.4044,2.412,2.3364,2.3741,7013795
11/14/2005,2.3968,2.3968,2.3216,2.3364,6098944
11/15/2005,2.344,2.3741,2.3216,2.3668,5232277
11/16/2005,2.3515,2.3515,2.2385,2.2611,28254240
11/17/2005,2.2535,2.329,2.1858,2.3216,20665239
11/18/2005,2.3515,2.3668,2.3216,2.3515,11074429
11/21/2005,2.3668,2.3668,2.3364,2.3515,5330319
11/22/2005,2.3591,2.4193,2.3591,2.3741,13002719
11/23/2005,2.412,2.4193,2.344,2.3741,12496852
11/24/2005,2.3591,2.4044,2.3063,2.329,15263091
11/25/2005,2.314,2.3591,2.2989,2.3063,13307893
11/28/2005,2.2385,2.2912,2.2385,2.2687,12185936
11/29/2005,2.2535,2.3818,2.246,2.3741,22474411
11/30/2005,2.4044,2.442,2.3892,2.427,13550695
12/1/2005,2.442,2.442,2.412,2.427,9067478
12/2/2005,2.412,2.412,2.3364,2.344,14512564
12/5/2005,2.344,2.3668,2.3216,2.344,10313658
12/6/2005,2.344,2.344,2.3063,2.3063,5654919
12/7/2005,2.3216,2.3741,2.314,2.3364,8097129
12/8/2005,2.3364,2.3668,2.329,2.344,9166918
12/9/2005,2.3591,2.3668,2.344,2.344,3493570
12/12/2005,2.3591,2.3591,2.344,2.3515,3438607
12/13/2005,2.3515,2.3668,2.344,2.3668,4074324
12/14/2005,2.3668,2.427,2.3668,2.427,14033953
12/15/2005,2.4345,2.4796,2.4193,2.4571,15601733
12/16/2005,2.4796,2.4796,2.3968,2.4721,12444384
12/19/2005,2.4721,2.4874,2.4496,2.4721,6193176
12/20/2005,2.4496,2.5174,2.4496,2.4874,17066487
12/21/2005,2.5024,2.51,2.4874,2.5024,8786618
12/22/2005,2.5024,2.51,2.4721,2.4796,4333893
12/23/2005,2.4721,2.5024,2.4721,2.4874,5619225
12/27/2005,2.4874,2.4948,2.4571,2.4721,4557952
12/28/2005,2.4646,2.4721,2.4193,2.4345,4597329
12/29/2005,2.427,2.442,2.412,2.4345,3936316
12/30/2005,2.4345,2.442,2.412,2.4193,3346571
1/2/2006,2.3968,2.4345,2.3741,2.4193,10540649
1/3/2006,2.442,2.4796,2.4345,2.4646,13387506
1/4/2006,2.4874,2.5024,2.4721,2.4874,6748274
1/5/2006,2.5024,2.5024,2.4721,2.4721,11032824
1/6/2006,2.442,2.4571,2.427,2.4345,11671833
1/9/2006,2.4571,2.4721,2.427,2.427,9472425
1/10/2006,2.412,2.412,2.3892,2.3968,6870788
1/11/2006,2.3892,2.412,2.3892,2.4044,7865460
1/12/2006,2.412,2.412,2.3968,2.4044,5365127
1/13/2006,2.3968,2.412,2.3968,2.4044,5157723
1/16/2006,2.4044,2.412,2.3892,2.4044,8887786
1/17/2006,2.3968,2.4044,2.3892,2.4044,7356198
1/18/2006,2.3818,2.3892,2.3818,2.3818,3752977
1/19/2006,2.3818,2.412,2.3741,2.4044,6638890
1/20/2006,2.412,2.4796,2.4044,2.4496,8128028
1/23/2006,2.4345,2.4345,2.412,2.427,5606950
1/24/2006,2.4345,2.4646,2.412,2.4345,6191274
1/25/2006,2.4496,2.51,2.442,2.51,24954078
1/26/2006,2.525,2.5701,2.4874,2.5024,11192239
1/27/2006,2.51,2.51,2.4646,2.4874,3791044
1/30/2006,2.4646,2.4646,2.4193,2.442,3518532
1/31/2006,2.427,2.442,2.344,2.3741,5843141
2/1/2006,2.3668,2.4193,2.344,2.4193,4595508
2/2/2006,2.4193,2.4571,2.412,2.442,7213659
2/3/2006,2.442,2.4496,2.3968,2.4193,4212769
2/6/2006,2.3892,2.412,2.3818,2.4044,3060679
2/7/2006,2.412,2.4193,2.3818,2.4193,3799992
2/8/2006,2.4193,2.4193,2.3968,2.412,2221323
2/9/2006,2.412,2.4193,2.3968,2.412,2288128
2/10/2006,2.4044,2.4193,2.4044,2.412,5516742
2/13/2006,2.412,2.4345,2.4044,2.412,1632993
2/14/2006,2.412,2.4193,2.3968,2.4044,3109025
2/15/2006,2.4044,2.412,2.3892,2.3968,1984080
2/16/2006,2.4044,2.412,2.2687,2.329,6728092
2/17/2006,2.3515,2.3892,2.3515,2.3892,7648500
2/20/2006,2.4044,2.4044,2.3668,2.3818,6209512
2/21/2006,2.3892,2.3968,2.3591,2.3668,4562382
2/22/2006,2.3741,2.3741,2.3515,2.3741,3530524
2/23/2006,2.3591,2.3741,2.3591,2.3668,2891774
2/24/2006,2.3668,2.3741,2.3515,2.3668,2188765
2/27/2006,2.3741,2.3892,2.3591,2.3741,3583141
2/28/2006,2.3668,2.3668,2.2762,2.2912,8353011
3/1/2006,2.2912,2.3216,2.246,2.2762,7419926
3/2/2006,2.2838,2.3515,2.2838,2.3364,14610938
3/3/2006,2.3591,2.3741,2.3364,2.3668,12367138
3/6/2006,2.3741,2.412,2.3668,2.4044,10529258
3/7/2006,2.4044,2.412,2.344,2.3741,12274972
3/8/2006,2.3818,2.3892,2.329,2.3668,9004996
3/9/2006,2.3668,2.3968,2.3668,2.3968,11029876
3/10/2006,2.4044,2.412,2.3364,2.3968,4935517
3/13/2006,2.3741,2.3968,2.3591,2.3668,1999538
3/14/2006,2.3515,2.4796,2.344,2.4796,14785027
3/15/2006,2.427,2.4571,2.3968,2.442,12604724
3/16/2006,2.442,2.4571,2.4193,2.442,8263750
3/17/2006,2.4571,2.4796,2.427,2.4646,14575708
3/20/2006,2.442,2.51,2.442,2.4796,6115068
3/21/2006,2.4796,2.51,2.4571,2.4646,5479168
3/22/2006,2.4571,2.4646,2.4345,2.4496,3389769
3/23/2006,2.4496,2.4796,2.4496,2.4796,1830609
3/24/2006,2.4796,2.4796,2.4571,2.4721,3740742
3/27/2006,2.4721,2.4874,2.4345,2.4646,4040063
3/28/2006,2.4496,2.4571,2.412,2.442,4966968
3/29/2006,2.4193,2.427,2.3741,2.3968,4973725
3/30/2006,2.412,2.442,2.4044,2.4193,1429634
3/31/2006,2.427,2.427,2.412,2.427,2213592
4/3/2006,2.427,2.442,2.3892,2.442,3097656
4/4/2006,2.412,2.442,2.4044,2.442,2130732
4/5/2006,2.4345,2.4496,2.412,2.4345,3369561
4/6/2006,2.4345,2.4571,2.412,2.412,5410626
4/7/2006,2.427,2.5174,2.427,2.51,15825090
4/10/2006,2.51,2.5174,2.4796,2.5174,6308687
4/11/2006,2.51,2.525,2.4874,2.5024,2896506
4/12/2006,2.5024,2.6154,2.4948,2.6154,17122877
4/13/2006,2.6531,2.7058,2.6531,2.7058,20404364
4/18/2006,2.721,2.7737,2.7058,2.7661,10566863
4/19/2006,2.7812,2.7888,2.6907,2.7132,7798676
4/20/2006,2.6983,2.7586,2.6607,2.7586,6076051
4/21/2006,2.6833,2.7132,2.6379,2.6607,14564845
4/24/2006,2.6531,2.6983,2.6531,2.6607,3935758
4/25/2006,2.6607,2.6757,2.6228,2.6531,3052137
4/26/2006,2.6757,2.721,2.6682,2.6983,4781742
4/27/2006,2.6907,2.6983,2.6379,2.6531,8634177
4/28/2006,2.6456,2.7586,2.6305,2.7586,8144692
5/2/2006,2.7285,2.7436,2.7058,2.721,2202641
5/4/2006,2.721,2.7586,2.6983,2.7436,2712144
5/5/2006,2.7285,2.7436,2.6983,2.721,3915400
5/8/2006,2.721,2.7359,2.6833,2.7359,2560816
5/9/2006,2.7132,2.7359,2.6907,2.721,3372675
5/10/2006,2.721,2.7285,2.6983,2.6983,3828663
5/11/2006,2.721,2.8717,2.721,2.8489,25063773
5/12/2006,2.8114,2.8489,2.7737,2.8264,8042837
5/15/2006,2.7888,2.8114,2.7661,2.7661,5568752
5/16/2006,2.7359,2.834,2.7359,2.8264,9737478
5/17/2006,2.834,2.8868,2.7812,2.7812,20704456
5/18/2006,2.7586,2.8114,2.721,2.7586,9838377
5/19/2006,2.7812,2.7888,2.6983,2.7058,5380610
5/22/2006,2.721,2.721,2.5401,2.5627,5516788
5/23/2006,2.5627,2.6228,2.4646,2.6228,15851039
5/24/2006,2.6078,2.6154,2.5325,2.5401,7597563
5/25/2006,2.5325,2.5851,2.4796,2.5401,11784104
5/26/2006,2.5777,2.5928,2.4948,2.51,11256151
5/29/2006,2.5174,2.5475,2.4948,2.5024,3237411
5/30/2006,2.5024,2.5325,2.4721,2.51,5551865
5/31/2006,2.4721,2.6379,2.4721,2.6379,28831088
6/1/2006,2.6228,2.6531,2.5627,2.6305,3657259
6/2/2006,2.6531,2.7058,2.6379,2.6757,4853969
6/5/2006,2.6456,2.6983,2.6078,2.6305,2708385
6/6/2006,2.6078,2.6305,2.5552,2.5627,4586665
6/7/2006,2.5701,2.6456,2.5174,2.5928,9878591
6/8/2006,2.5475,2.5851,2.5174,2.5851,16711483
6/9/2006,2.5851,2.6003,2.5325,2.5627,3090518
6/12/2006,2.5325,2.5552,2.442,2.4721,6540571
6/13/2006,2.4044,2.4193,2.3216,2.3892,12608847
6/14/2006,2.3741,2.4796,2.3741,2.4193,9544969
6/16/2006,2.5024,2.51,2.442,2.4721,3970551
6/19/2006,2.4796,2.4796,2.412,2.442,2289284
6/20/2006,2.442,2.4571,2.344,2.3515,10213886
6/21/2006,2.3741,2.3818,2.2912,2.3216,11973494
6/22/2006,2.3515,2.3515,2.2912,2.2912,3246355
6/23/2006,2.3063,2.3216,2.2912,2.314,2800214
6/26/2006,2.314,2.344,2.314,2.3216,3736458
6/27/2006,2.344,2.3818,2.3216,2.3818,11562682
6/28/2006,2.3515,2.4044,2.344,2.3892,4916307
6/29/2006,2.4044,2.412,2.3216,2.3515,4361583
6/30/2006,2.3968,2.4044,2.3515,2.3515,4278703
7/3/2006,2.3591,2.3892,2.344,2.3741,3452131
7/4/2006,2.3741,2.4044,2.3741,2.3968,2372019
7/5/2006,2.4044,2.412,2.3591,2.3892,2729645
7/6/2006,2.3892,2.442,2.3741,2.4345,3633342
7/7/2006,2.4193,2.4796,2.412,2.4796,5185805
7/10/2006,2.427,2.5475,2.3968,2.51,8166772
7/11/2006,2.51,2.525,2.4571,2.4721,2506225
7/12/2006,2.4796,2.51,2.4345,2.4874,5206000
7/13/2006,2.4796,2.4948,2.3968,2.4044,3176846
7/14/2006,2.3968,2.4345,2.3818,2.4193,3121051
7/17/2006,2.4193,2.4193,2.3968,2.3968,3281612
7/18/2006,2.412,2.442,2.3968,2.412,2032564
7/19/2006,2.442,2.442,2.4044,2.4193,1865554
7/20/2006,2.4571,2.4948,2.4496,2.4948,4438757
7/21/2006,2.4874,2.51,2.4646,2.4721,2740066
7/24/2006,2.4721,2.5024,2.4646,2.4796,3609872
7/25/2006,2.525,2.5475,2.4646,2.4796,5793640
7/26/2006,2.4796,2.525,2.4796,2.51,2815286
7/27/2006,2.525,2.5475,2.51,2.5401,7135695
7/28/2006,2.5401,2.5701,2.5174,2.5475,7364344
7/31/2006,2.5475,2.5475,2.4874,2.4874,4256103
8/1/2006,2.5024,2.525,2.4571,2.4571,3967503
8/2/2006,2.4571,2.4796,2.412,2.442,3766740
8/3/2006,2.4571,2.4571,2.3668,2.3741,4300909
8/4/2006,2.4044,2.4193,2.3515,2.3818,9336992
8/7/2006,2.3892,2.3968,2.3515,2.3892,5944092
8/8/2006,2.3892,2.4044,2.344,2.3515,11402867
8/9/2006,2.3515,2.3591,2.3216,2.3364,10953297
8/10/2006,2.3364,2.344,2.3063,2.3216,3318390
8/11/2006,2.3216,2.344,2.2912,2.2912,7542041
8/14/2006,2.3216,2.344,2.3063,2.329,4865908
8/16/2006,2.3364,2.3515,2.3063,2.314,8063388
8/17/2006,2.314,2.3216,2.2912,2.3216,3466088
8/18/2006,2.3063,2.344,2.2912,2.344,2602754
8/21/2006,2.3515,2.412,2.3216,2.3668,5011661
8/22/2006,2.3668,2.3968,2.3216,2.3818,5100656
8/23/2006,2.3818,2.3892,2.3515,2.3741,4139983
8/24/2006,2.3591,2.3668,2.314,2.3216,2928973
8/25/2006,2.3216,2.344,2.2838,2.2989,4535036
8/28/2006,2.2989,2.314,2.2687,2.314,1804049
8/29/2006,2.3216,2.344,2.2989,2.344,2718573
8/30/2006,2.3591,2.3668,2.329,2.3591,5796523
8/31/2006,2.3741,2.3968,2.3216,2.3216,5952212
9/1/2006,2.344,2.3818,2.3364,2.3818,2876224
9/4/2006,2.3892,2.4796,2.3818,2.4496,8085136
9/5/2006,2.4496,2.4721,2.4193,2.4345,4637757
9/6/2006,2.4496,2.4646,2.3741,2.412,4144844
9/7/2006,2.412,2.412,2.3515,2.3668,2727918
9/8/2006,2.3741,2.3968,2.344,2.3668,1687258
9/11/2006,2.3591,2.3668,2.329,2.3515,2499343
9/12/2006,2.329,2.3741,2.3216,2.3741,2976905
9/13/2006,2.3818,2.3892,2.3364,2.344,3432050
9/14/2006,2.3741,2.3741,2.344,2.344,2617852
9/15/2006,2.344,2.3892,2.344,2.3741,5843763
9/18/2006,2.3892,2.3968,2.3591,2.3968,4753702
9/19/2006,2.3968,2.4193,2.3668,2.3741,1760114
9/20/2006,2.3818,2.3818,2.3216,2.329,4985069
9/21/2006,2.329,2.329,2.3063,2.314,2956669
9/22/2006,2.3063,2.3216,2.2762,2.2989,4829033
9/25/2006,2.3216,2.3216,2.3063,2.3216,1037239
9/26/2006,2.329,2.3515,2.3063,2.329,1936964
9/27/2006,2.314,2.329,2.2762,2.2989,1636010
9/28/2006,2.2989,2.3216,2.2912,2.2989,1770996
9/29/2006,2.314,2.329,2.2989,2.3063,3135489
10/2/2006,2.314,2.3216,2.3063,2.3216,5899149
10/3/2006,2.3216,2.3591,2.314,2.344,2494356
10/4/2006,2.344,2.4044,2.3364,2.4044,5114758
10/5/2006,2.4496,2.525,2.4496,2.4796,7482266
10/6/2006,2.4796,2.4874,2.427,2.4796,6357870
10/9/2006,2.4796,2.4874,2.4496,2.4646,2301490
10/10/2006,2.4571,2.5174,2.4571,2.5024,6342560
10/11/2006,2.4948,2.51,2.4646,2.4646,9029782
10/12/2006,2.4571,2.4796,2.4345,2.4796,4445516
10/13/2006,2.4874,2.51,2.4721,2.4948,6370830
10/16/2006,2.4948,2.4948,2.442,2.4646,2019447
10/17/2006,2.4646,2.4721,2.412,2.4345,2745488
10/18/2006,2.442,2.4796,2.427,2.4721,6585524
10/19/2006,2.4721,2.4948,2.442,2.4948,4014790
10/20/2006,2.4796,2.4948,2.4193,2.442,2549266
10/23/2006,2.4345,2.4721,2.427,2.4571,1364020
10/24/2006,2.4571,2.4721,2.4193,2.4571,8422886
10/25/2006,2.442,2.4571,2.427,2.442,3496917
10/26/2006,2.4496,2.4571,2.427,2.442,10232693
10/27/2006,2.4193,2.4571,2.4044,2.4345,9241841
10/30/2006,2.4193,2.4193,2.3364,2.3364,3884580
10/31/2006,2.344,2.3892,2.2687,2.2687,5497360
11/2/2006,2.2912,2.329,2.2912,2.329,4845822
11/3/2006,2.329,2.3515,2.314,2.3216,2620767
11/6/2006,2.3216,2.3591,2.2838,2.344,5466116
11/7/2006,2.344,2.344,2.3216,2.3216,3939985
11/8/2006,2.3216,2.329,2.3063,2.3216,4820226
11/9/2006,2.3216,2.329,2.3063,2.3216,8672901
11/10/2006,2.3216,2.3216,2.2838,2.2912,9115791
11/13/2006,2.3063,2.3216,2.2989,2.3216,3460254
11/14/2006,2.329,2.4193,2.3216,2.4044,13739050
11/15/2006,2.427,2.4571,2.344,2.3668,8674476
11/16/2006,2.3515,2.3591,2.3364,2.344,5159015
11/17/2006,2.329,2.3591,2.329,2.3515,3956949
11/20/2006,2.3364,2.3668,2.329,2.3591,4746581
11/21/2006,2.3591,2.3668,2.3364,2.3515,4710709
11/22/2006,2.3668,2.3818,2.3364,2.3515,8921292
11/23/2006,2.3515,2.3741,2.3364,2.3668,6034695
11/24/2006,2.3668,2.3668,2.344,2.344,4240506
11/27/2006,2.344,2.3668,2.344,2.3515,3922951
11/28/2006,2.344,2.3668,2.329,2.3668,4933654
11/29/2006,2.344,2.3668,2.344,2.3668,993663
11/30/2006,2.3515,2.3668,2.344,2.3591,2713059
12/1/2006,2.3515,2.3818,2.3515,2.3515,6117446
12/4/2006,2.3515,2.3668,2.3515,2.3591,7790523
12/5/2006,2.3515,2.4721,2.3515,2.4721,11479286
12/6/2006,2.442,2.4874,2.412,2.4796,7461696
12/7/2006,2.4796,2.5475,2.4796,2.5174,10533263
12/8/2006,2.5174,2.5475,2.4874,2.5325,4712336
12/11/2006,2.5401,2.5627,2.5325,2.5627,6307388
12/12/2006,2.5552,2.5701,2.5475,2.5552,4403696
12/13/2006,2.5475,2.5701,2.4948,2.5024,9992402
12/14/2006,2.5024,2.5475,2.5024,2.5475,4870473
12/15/2006,2.5627,2.6456,2.51,2.6456,17670262
12/18/2006,2.6379,2.6682,2.5928,2.6682,5971550
12/19/2006,2.6228,2.6682,2.6003,2.6531,4902342
12/20/2006,2.6607,2.6607,2.6154,2.6379,4728984
12/21/2006,2.6379,2.6607,2.6228,2.6531,3485014
12/22/2006,2.6456,2.6607,2.6305,2.6379,4376831
12/27/2006,2.6531,2.6757,2.6379,2.6607,3130285
12/28/2006,2.6607,2.6682,2.6078,2.6228,3598713
